Pos,ID,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,Elite%
M,492,Antoñito C.,4.9,4.9,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,493,Longstaff,4.8,4.8,Leeds,39,1.54,33,1.29,28,1.16,26,1.25,23,1.00,24,1.10,27,1.09,29,1.66,29,0.99,20,1.05,0.00
M,494,Willock,5.0,5.0,Newcastle,37,1.76,23,1.06,21,1.14,27,1.37,23,1.08,24,1.31,21,1.10,26,2.07,25,0.41,26,1.38,0.00
M,495,Hayden,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,496,Kuol,4.4,4.4,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,497,L.Miley,4.5,4.5,Newcastle,29,1.20,36,1.32,44,1.87,41,1.69,34,1.32,28,1.26,29,1.23,30,2.02,32,0.45,32,1.40,0.01
M,498,White,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,499,Isak,10.3,10.3,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,27,1.75,55,4.32,69,2.75,67,3.46,0.00
F,500,Osula,5.4,5.4,Newcastle,2,0.19,2,0.18,2,0.15,3,0.22,4,0.28,4,0.36,3,0.22,2,0.32,4,0.11,6,0.49,0.00
F,501,Neave,4.3,4.3,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,502,Sels,4.6,4.6,Nott'm Forest,0,0.00,30,0.99,69,2.36,76,2.29,80,3.08,76,2.64,77,2.74,74,3.77,70,2.07,73,2.29,0.00
G,503,C.Miguel,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,504,Turner,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,505,Milenković,5.1,5.1,Nott'm Forest,92,4.22,88,2.69,87,2.70,82,1.94,84,3.23,84,2.67,81,2.64,80,4.34,83,2.43,84,2.24,0.00
D,506,Murillo,5.2,5.2,Nott'm Forest,43,2.12,87,2.96,81,2.85,85,2.27,79,3.37,81,2.87,82,2.95,80,4.66,82,2.62,82,2.44,0.00
D,507,Aina,4.7,4.7,Nott'm Forest,86,4.06,84,2.50,83,2.52,77,1.69,79,3.11,80,2.48,77,2.52,71,4.02,74,2.14,76,1.91,0.00
D,508,N.Williams,4.7,4.7,Nott'm Forest,91,4.49,87,2.79,87,2.84,85,2.00,81,3.44,81,2.73,79,2.76,81,4.80,80,2.46,79,2.19,0.00
D,509,David Carmo,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,510,Jair Cunha,4.2,4.2,Nott'm Forest,7,0.24,2,0.04,1,0.04,4,0.07,4,0.13,7,0.18,4,0.10,7,0.29,4,0.09,4,0.10,0.00
D,511,Morato,4.3,4.3,Nott'm Forest,50,2.20,13,0.35,16,0.48,19,0.47,21,0.79,22,0.70,24,0.79,24,1.25,25,0.73,26,0.71,0.00
D,512,O.Richards,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,513,Abbott,3.8,3.8,Nott'm Forest,1,0.04,0,0.00,0,0.00,1,0.02,0,0.00,1,0.03,0,0.00,2,0.08,0,0.00,3,0.06,0.00
D,514,Boly,3.8,3.8,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,0.04,0,0.00,1,0.03,1,0.03,0.00
M,515,Gibbs-White,7.3,7.3,Nott'm Forest,85,5.07,83,3.71,83,3.62,84,3.11,78,4.00,75,3.39,77,3.51,77,5.49,81,2.96,77,3.10,0.00
M,516,Hudson-Odoi,5.7,5.7,Nott'm Forest,72,3.91,68,2.94,64,2.76,60,2.31,63,3.11,62,2.74,61,2.78,61,3.97,64,2.30,64,2.60,0.00
M,517,Anderson,5.4,5.3,Nott'm Forest,91,4.70,86,3.77,84,3.67,82,3.31,82,3.89,84,3.73,78,3.43,83,5.12,80,2.85,79,3.25,0.51
M,518,Jota,5.4,5.4,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,519,Dominguez,5.0,5.0,Nott'm Forest,52,2.61,55,2.23,51,2.11,50,1.88,55,2.45,50,2.09,53,2.20,49,2.90,51,1.73,49,1.89,0.00
M,520,O'Brien,5.0,5.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,521,Sangaré,4.9,4.9,Nott'm Forest,79,3.16,76,2.69,77,2.73,75,2.52,75,2.88,74,2.69,73,2.62,73,3.56,74,2.15,69,2.37,0.00
M,522,Yates,4.7,4.7,Nott'm Forest,21,0.98,25,1.01,30,1.16,25,0.98,29,1.20,29,1.16,28,1.12,28,1.52,28,0.91,33,1.25,0.00
M,523,Da Silva Moreira,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.04,0,0.00,0.00
M,524,Stamenic,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,525,Wood,7.2,7.2,Nott'm Forest,0,0.00,0,0.00,5,0.33,12,0.66,26,1.77,29,1.73,28,1.72,25,2.21,27,1.30,24,1.37,0.00
F,526,Igor Jesus,5.8,5.8,Nott'm Forest,68,4.38,67,3.42,65,3.25,62,2.73,55,3.25,52,2.69,57,3.02,52,4.14,51,2.13,55,2.63,0.01
F,527,Awoniyi,5.2,5.2,Nott'm Forest,3,0.28,3,0.26,5,0.37,6,0.37,2,0.15,3,0.21,3,0.21,4,0.44,5,0.27,3,0.23,0.00
G,528,Patterson,4.2,4.2,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,529,Moore,3.9,3.9,Sunderland,0,0.00,2,0.07,3,0.10,2,0.07,3,0.10,2,0.06,2,0.06,5,0.18,4,0.12,5,0.19,0.00
G,530,Nna Noukeu,3.9,3.9,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,531,Ballard,4.6,4.6,Sunderland,79,2.96,77,3.47,81,3.14,78,3.31,72,3.15,70,2.45,74,3.23,76,3.33,68,2.49,74,3.56,0.00
D,532,Hume,4.5,4.5,Sunderland,61,1.99,61,2.57,60,2.01,56,2.07,55,2.20,53,1.55,55,2.22,56,2.09,51,1.70,58,2.54,0.00
D,533,Alese,4.0,4.0,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,534,Anderson,3.8,3.8,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,535,Cirkin,4.0,4.0,Sunderland,9,0.28,9,0.35,10,0.34,9,0.33,10,0.40,14,0.46,11,0.46,14,0.59,13,0.43,12,0.51,0.00
D,536,Hjelde,4.0,4.0,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,537,Huggins,4.0,4.0,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,538,Johnson,3.8,3.8,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,539,O'Nien,4.0,4.0,Sunderland,8,0.24,8,0.30,8,0.25,14,0.48,13,0.46,14,0.40,15,0.53,16,0.57,15,0.43,17,0.68,0.00
D,540,Pembele,3.9,3.9,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,541,Reinildo,3.8,3.8,Sunderland,81,2.51,79,3.13,76,2.43,78,2.76,74,2.79,74,2.10,75,2.88,74,2.67,75,2.35,74,3.08,0.02
D,542,Seelt,4.0,4.0,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,543,Adingra,4.9,4.9,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,544,Diarra,5.3,5.3,Sunderland,81,2.94,73,3.00,64,2.49,62,2.43,62,2.57,61,2.21,60,2.54,59,2.62,59,1.99,60,2.52,0.00
M,545,Roberts,5.4,5.4,Sunderland,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,546,Aleksić,4.9,4.9,Sunderland,0,0.00,0,0.00,0,0.00,1,0.08,0,0.00,2,0.12,1,0.10,2,0.18,2,0.14,2,0.14,0.00
M,547,E.Le Fée,4.9,4.9,Sunderland,82,3.67,76,3.89,73,3.38,74,3.39,73,3.64,69,2.95,69,3.51,66,3.46,73,2.94,67,3.38,0.12
